STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,sex,Sex,age,Age class,unit,Unit of measure,isced11,International Standard Classification of Education (ISCED 2011),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),NL,Netherlands,2023,,38.4,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),NO,Norway,2023,,41.9,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),PL,Poland,2023,,33.2,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),PT,Portugal,2023,,27.1,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),RO,Romania,2023,,16.1,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),RS,Serbia,2023,,23.3,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),SE,Sweden,2023,,41.9,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),SI,Slovenia,2023,,29.8,,b,break in time series,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),SK,Slovakia,2023,,25.8,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),TR,Türkiye,2023,,21.8,,,,,
