STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,sex,Sex,age,Age class,unit,Unit of measure,isced11,International Standard Classification of Education (ISCED 2011),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),AT,Austria,2024,,34.4,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),BA,Bosnia and Herzegovina,2024,,15.3,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),BE,Belgium,2024,,38.8,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),BG,Bulgaria,2024,,29.4,,b,break in time series,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),CH,Switzerland,2024,,40.5,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),CY,Cyprus,2024,,46.3,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),CZ,Czechia,2024,,23.8,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),DE,Germany,2024,,29.8,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),DK,Denmark,2024,,37.3,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),EE,Estonia,2024,,36.0,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),EL,Greece,2024,,30.4,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),ES,Spain,2024,,37.5,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),FI,Finland,2024,,35.7,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),FR,France,2024,,38.4,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),HR,Croatia,2024,,26.6,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),HU,Hungary,2024,,27.0,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),IE,Ireland,2024,,48.3,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),IS,Iceland,2024,,40.0,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),IT,Italy,2024,,19.7,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),LT,Lithuania,2024,,41.7,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),LU,Luxembourg,2024,,48.2,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),LV,Latvia,2024,,34.7,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),MT,Malta,2024,,33.3,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),NL,Netherlands,2024,,38.7,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),NO,Norway,2024,,42.7,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),PL,Poland,2024,,34.3,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),PT,Portugal,2024,,28.6,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),RO,Romania,2024,,16.5,,,,,
